"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2796025"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1887323"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","908702"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2808219"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1915260"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","892959"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2830097"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1940167"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","889930"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","825231"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","652844"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","172387"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","813327"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","647749"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","165578"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","833190"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","665092"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","168098"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","825231"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","652844"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","172387"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","813327"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","647749"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","165578"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","833190"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","665092"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","168098"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","24013"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16087"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7926"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23439"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15617"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7822"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23737"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15932"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7805"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30390"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10666"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","19724"
