"Laikotarpis","Rodiklis","Amžius","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai ir moterys","asmenys","2794090"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai","asmenys","1304354"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Moterys","asmenys","1489736"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai ir moterys","asmenys","2810761"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai","asmenys","1304965"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Moterys","asmenys","1505796"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai ir moterys","asmenys","2805998"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai","asmenys","1306599"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Moterys","asmenys","1499399"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai ir moterys","asmenys","2857279"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Vyrai","asmenys","1335816"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Iš viso pagal amžių","Miestas ir kaimas","Moterys","asmenys","1521463"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai ir moterys","asmenys","27351"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai","asmenys","14064"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Moterys","asmenys","13287"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai ir moterys","asmenys","23546"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai","asmenys","12169"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Moterys","asmenys","11377"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai ir moterys","asmenys","23395"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai","asmenys","11920"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Moterys","asmenys","11475"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai ir moterys","asmenys","22472"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Vyrai","asmenys","11433"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","0","Miestas ir kaimas","Moterys","asmenys","11039"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai ir moterys","asmenys","28300"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai","asmenys","14413"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Moterys","asmenys","13887"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai ir moterys","asmenys","25068"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai","asmenys","12973"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Moterys","asmenys","12095"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai ir moterys","asmenys","23733"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai","asmenys","12265"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Moterys","asmenys","11468"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai ir moterys","asmenys","24669"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Vyrai","asmenys","12585"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","1","Miestas ir kaimas","Moterys","asmenys","12084"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai ir moterys","asmenys","28916"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai","asmenys","14887"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Moterys","asmenys","14029"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai ir moterys","asmenys","26826"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai","asmenys","13712"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Moterys","asmenys","13114"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai ir moterys","asmenys","25447"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai","asmenys","13143"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Moterys","asmenys","12304"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai ir moterys","asmenys","25171"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Vyrai","asmenys","13008"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","2","Miestas ir kaimas","Moterys","asmenys","12163"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai ir moterys","asmenys","30365"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai","asmenys","15741"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Moterys","asmenys","14624"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai ir moterys","asmenys","27940"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai","asmenys","14407"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Moterys","asmenys","13533"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai ir moterys","asmenys","27206"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai","asmenys","13898"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Moterys","asmenys","13308"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai ir moterys","asmenys","26704"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Vyrai","asmenys","13752"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","3","Miestas ir kaimas","Moterys","asmenys","12952"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai ir moterys","asmenys","30658"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai","asmenys","15757"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Moterys","asmenys","14901"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai ir moterys","asmenys","29269"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai","asmenys","15101"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Moterys","asmenys","14168"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai ir moterys","asmenys","28267"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai","asmenys","14569"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Moterys","asmenys","13698"
